,Partei: Nr.,Partei: Kurzbezeichnung,Partei: Name,These: Nr.,Domain,These: Titel,These: These,Position: Position,Position: Begründung
610,3,AfD,Alternative für Deutschland,17,7,Abschaffung des Solidaritätszuschlags,Der Solidaritätszuschlag soll vollständig abgeschafft werden.,stimme zu,"Die Steuergerechtigkeit wird elementar verletzt, wenn der Solidaritätszuschlag, der aus Gründen der Finanzierung des ""Aufbau Ost"" eingeführt wurde, nach dem Wegfall dieser Transferleistungen nicht ebenfalls entfällt. Maßgebliche Verfassungsrechtler halten die nunmehrige vollständige Abschaffung des ""Soli"" für verfassungsrechtlich zwingend geboten."
611,4,FDP,Freie Demokratische Partei,17,7,Abschaffung des Solidaritätszuschlags,Der Solidaritätszuschlag soll vollständig abgeschafft werden.,stimme zu,Wir Freie Demokraten wollen den Solidaritätszuschlag komplett abschaffen. Der Solidaritätszuschlag war und bleibt eine nicht auf Dauer angelegte Sondersteuer. Ende 2019 lief der Solidarpakt aus. Damit ist die Erhebung des Solidaritätszuschlags nicht mehr zu rechtfertigen. Die Abschaffung des Solidaritätszuschlags ist eine Frage der politischen Glaubwürdigkeit. Nicht zuletzt geht es hierbei auch um die Entlastung der vielen betroffenen mittelständischen Unternehmen.
612,5,DIE LINKE,DIE LINKE,17,7,Abschaffung des Solidaritätszuschlags,Der Solidaritätszuschlag soll vollständig abgeschafft werden.,stimme nicht zu,"Der Solidaritätszuschlag wird schon jetzt nur noch von den reichsten 3,5 % der Bevölkerung gezahlt. Wenn er vollständig abgeschafft würde, bedeutet das für Alleinstehende mit 1 Mio Euro Jahreseinkommen: sie sparen 24.000 Euro Steuern. Dem Bundeshaushalt fehlen dann weitere 10 Milliarden Euro. Wir wollen stattdessen mit diesem Geld die Regionen stärken, die durch den Umbau der Wirtschaft Unterstützung brauchen. "
613,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,17,7,Abschaffung des Solidaritätszuschlags,Der Solidaritätszuschlag soll vollständig abgeschafft werden.,stimme nicht zu,"Eine ersatzlose Abschaffung des Solidaritätszuschlags ist falsch. Zum einen benötigen wir die Einnahmen zur Schaffung gleichwertiger Lebensverhältnisse und zum anderen profitieren davon nur Spitzenverdienende. Für eine rechtssichere Ausgestaltung sollte der restliche Solidaritätszuschlag in die Einkommenssteuer integriert werden, so dass kleine und mittlere Einkommen entlastet werden, aber Bestverdiener weiter einen besonderen Beitrag für gleichwertige Lebensverhältnisse leisten."
646,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,18,6,Kopftuch im Dienst,Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.,stimme nicht zu,"Eine generelle Erlaubnis lehnen wir ab. Wie es bei allen religiösen Merkmalen der Fall ist, soll das Tragen eines Kopftuchs dann verboten werden können, wenn das Vertrauen in die neutrale Amtsführung der Beamtin dadurch beeinträchtigt werden kann. Ob das der Fall ist oder nicht, muss in jedem Einzelfall entschieden werden."
647,2,SPD,Sozialdemokratische Partei Deutschlands,18,6,Kopftuch im Dienst,Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.,stimme nicht zu,Das Tragen eines Kopftuchs ist eine persönliche Entscheidung und als religiös/weltanschauliches Symbol als Teil der Glaubensfreiheit durch Artikel 4 des Grundgesetzes geschützt. Das gilt grundsätzlich auch für Beamtinnen. Allerdings stehen sie zum Staat in einem Sonderrechtsverhältnis: Sie repräsentieren den zur weltanschaulichen Neutralität verpflichteten öffentlichen Dienst. Infolgedessen können die Grundrechte von Beamtinnen eingeschränkt werden. So auch das Tragen des Kopftuchs im Dienst.
648,3,AfD,Alternative für Deutschland,18,6,Kopftuch im Dienst,Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.,stimme nicht zu,Das Kopftuch als religiös-politisches Zeichen soll im Öffentlichen Dienst generell nicht gestattet und in öffentlichen Schulen weder von Lehrerinnen noch Schülerinnen getragen werden.
649,4,FDP,Freie Demokratische Partei,18,6,Kopftuch im Dienst,Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.,neutral,"Die selbstbestimmte Entscheidung für das Tragen eines Kopftuchs oder anderen religiösen Symbolen darf in einem weltanschaulich-religiös neutralen Staat kein pauschales Ausschlusskriterium für den Beamtenberuf sein. In bestimmten Bereichen des öffentlichen Dienstes (beispielsweise Schulen, Justiz) kann es jedoch erhöhte Anforderungen an eine religiös und weltanschaulich neutrale Kleidung von Beamten geben, die berücksichtigt werden müssen."
650,5,DIE LINKE,DIE LINKE,18,6,Kopftuch im Dienst,Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.,stimme zu,"DIE LINKE verteidigt das Selbstbestimmungsrecht von muslimischen Frauen. Wir sprechen uns gegen ein Verbot religiös motivierter Bekleidung aus. Wir lehnen es ab, die Rechte von Beschäftigten auf dieser Grundlage einzuschränken. "
651,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,18,6,Kopftuch im Dienst,Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.,stimme zu,"Ein generelles Verbot von weltanschaulichen/religiösen Kleidungsstücken wie beispielsweise dem Kopftuch wäre eine Einschränkung der grundrechtlich geschützten Religionsfreiheit. Das Bundesverfassungsgericht hat klar formuliert, dass für ein Verbot begründet nachgewiesen werden muss, dass das Vertrauen in die neutrale Amtsführung beeinträchtigt ist. Dafür bräuchte es neben der weltanschaulichen/religiösen Kleidungsstücke weiterer Umstände."
684,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,19,5,Verbrennungsmotor,Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.,stimme zu,"Immer mehr deutsche Automobilhersteller kündigen an, aus der Herstellung von Verbrennungsmotoren auszusteigen. Wir werden den Umstieg in emissionsfreie Mobilität für alle attraktiv gestalten und dazu einen Fahrplan vorlegen."
685,2,SPD,Sozialdemokratische Partei Deutschlands,19,5,Verbrennungsmotor,Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.,stimme nicht zu,"Den Verbrennungsmotor schafft die Autoindustrie gerade selbst ab, weil er schon in wenigen Jahren nicht mehr konkurrenzfähig sein wird. Wir werden dafür sorgen, dass schnell ausreichend erschwingliche E-Fahrzeuge und genug Lademöglichkeiten vorhanden sind. Deshalb fördern wir, dass zügig mehr E-Fahrzeuge vom Band rollen und regeln, dass überall schnell geladen werden kann. Wenn diese Alternativen stehen, hat der Verbrenner ausgedient."
686,3,AfD,Alternative für Deutschland,19,5,Verbrennungsmotor,Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.,stimme zu,"Die heutige einseitige Bevorzugung von Elektromobilität ist auf Grund mangelnder Stromkapazitäten und der globalen Umweltbelastung bei der Batterieproduktion sofort zu stoppen. Ob der Verbrennungsmotor eines Tages durch andere Antriebsformen abgelöst wird oder weiter existiert, muss eine Frage des technischen Fortschritts sowie des Marktes werden und darf nicht auf einer Verbotspolitik der EU basieren."
687,4,FDP,Freie Demokratische Partei,19,5,Verbrennungsmotor,Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.,stimme zu,"Wir Freie Demokraten setzen auf Innovationen, Vernunft und Freiheit - auch bei der Mobilität. Ein pauschales Verbot von Verbrennungsmotoren lehnen wir daher ab. Durch die von uns geforderte Ausweitung des CO2-Emissionshandels werden sich umwelt- und klimafreundliche Motoren und alternative Kraftstoffe langfristig durchsetzen, weil sie gegenüber emissionsstarken Produkten günstiger werden. "
688,5,DIE LINKE,DIE LINKE,19,5,Verbrennungsmotor,Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.,stimme nicht zu,"DIE LINKE schlägt vor, dass ab 2030 keine Privatautos mit Verbrennungsmotor mehr zugelassen werden. Das bietet Planungssicherheit für die Unternehmen. Mit einem staatlichen Transformationsfonds über 20 Milliarden Euro pro Jahr wollen wir den notwendigen ökologischen Umbau in der Industrie, insbesondere der Autozuliefererindustrie unterstützen. Von diesem Fonds profitieren Betriebe, die Arbeitsplätze sichern, gute Löhne und flächendeckende Tarifverträge haben."
689,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,19,5,Verbrennungsmotor,Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.,stimme nicht zu,"Um die CO2-Emission im Verkehr gemäß Bundes-Klimaschutz bis 2030 um die Hälfte zu senken und der Fahrzeugindustrie Investitionssicherheit zu geben und ihre Wettbewerbsposition zu verbessern, ist ein festes Ausstiegsdatum sinnvoll."
722,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,20,3,Schulpolitik,Der Bund soll mehr Zuständigkeiten in der Schulpolitik erhalten.,stimme nicht zu,"Nach der Ordnung des Grundgesetzes nehmen die Verantwortlichen in Bund, Ländern und Kommunen eigene Aufgaben wahr, aber sie eint die gemeinsame Verantwortung für unser Bildungssystem. Dazu gehört es, entsprechend ihren Zuständigkeiten in ganz Deutschland ein leistungsfähiges und chancengerechtes Bildungswesen zu gewährleisten."
723,2,SPD,Sozialdemokratische Partei Deutschlands,20,3,Schulpolitik,Der Bund soll mehr Zuständigkeiten in der Schulpolitik erhalten.,stimme zu,"Wir wollen die Möglichkeiten durch die Änderung des Grundgesetzes nutzen und mehr Kooperationen von Bund und Ländern bei der Bildungsfinanzierung schaffen. Maßgebend ist für uns auch hier der Grundsatz der gleichwertigen Lebensverhältnisse. Als konkreten nächsten Schritt wollen wir eine Bundesinitiative Chancengleichheit in der Bildung umsetzen - mit Chancenhelfern an jeder Schule, damit sich Benachteiligungen durch den eingeschränkten Präsenzunterricht während der Pandemie nicht verfestigen."
724,3,AfD,Alternative für Deutschland,20,3,Schulpolitik,Der Bund soll mehr Zuständigkeiten in der Schulpolitik erhalten.,stimme nicht zu,Die AfD versteht sich als Anwalt unserer Verfassung und damit auch des föderalen Aufbaus unseres Staates. Schulpolitik ist im wesentlichen Ländersache. Klare Zuständigkeiten sind besser für alle. Vielfalt und der Wettbewerb um die besten Ideen sind besser als eine zentralistische Steuerung.
725,4,FDP,Freie Demokratische Partei,20,3,Schulpolitik,Der Bund soll mehr Zuständigkeiten in der Schulpolitik erhalten.,stimme zu,"Wir brauchen mehr Innovationen und Qualitätssicherung durch Vergleichbarkeit in der Bildung. Wir Freie Demokraten fordern daher eine Reform des Bildungsföderalismus und eine Grundgesetzänderung, damit Bund und Länder zusammen für die Sicherstellung der Qualität, die Leistungsfähigkeit und die Weiterentwicklung des Bildungswesens wirken können."
726,5,DIE LINKE,DIE LINKE,20,3,Schulpolitik,Der Bund soll mehr Zuständigkeiten in der Schulpolitik erhalten.,stimme zu,"Der Zugang zu Bildung, die Ausstattung der Schulen, die Größe der Klassen müssen überall in Deutschland vergleichbar - und gut - sein. Das sind bundesweite Aufgaben und müssen so finanziert werden. Der Modernisierungs-Rückstand in den Schulen ist enorm, mindestens 44 Mrd. Euro. Kein Land in Europa gibt anteilig so wenig für Bildung aus wie Deutschland. Wir wollen eine Offensive für 100 000 zusätzliche Lehrkräfte, Laptops und Daten für alle Kinder, Renovierung von Turnhallen & Schultoiletten."
727,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,20,3,Schulpolitik,Der Bund soll mehr Zuständigkeiten in der Schulpolitik erhalten.,stimme zu,"Unser Ziel sind moderne und inklusive Schulen, in die Kinder und Jugendliche, aber auch Erzieher*innen und Lehrer*innen gerne gehen. Und zwar egal ob auf dem Land oder in der Stadt, ob in ärmeren oder reicheren Vierteln. Dafür braucht es eine ausreichende finanzielle Ausstattung der Länder und eine verfassungsrechtlich abgesicherte Zusammenarbeit zwischen Bund, Ländern und Kommunen."
760,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,21,4,Antisemitismus,Der Bund soll Projekte zur Bekämpfung des Antisemitismus stärker finanziell unterstützen.,stimme zu,"Der anwachsende Antisemitismus in unserem Land beschämt uns. Es liegt in unser aller Verantwortung, antisemitischem Hass entschlossen entgegenzutreten, ihn klar zu benennen und zu bekämpfen. Wir stehen mit aller Überzeugung dafür ein, dass Jüdinnen und Juden in Deutschland immer eine Heimat haben und in Sicherheit leben können. Den Austausch zwischen Deutschland und Israel wollen wir verstärken – insbesondere mit einem deutsch-israelischen Jugendwerk und mehr Stipendienprogrammen."
761,2,SPD,Sozialdemokratische Partei Deutschlands,21,4,Antisemitismus,Der Bund soll Projekte zur Bekämpfung des Antisemitismus stärker finanziell unterstützen.,stimme zu,"Wir müssen unsere Demokratie noch wirksamer vor Extremisten schützen und das vielfältige zivilgesellschaftliche Engagement in unserem Land nachhaltig stärken. Dafür braucht es eine dauerhafte Unterstützung der vielen Initiativen zur Stärkung unserer Demokratie, denn sie sind das beste präventive Mittel gegen Rechtsextremismus, Rassismus und Antisemitismus. Deshalb wollen wir das Demokratiefördergesetz gleich nach der Bundestagswahl so schnell wie möglich auf den Weg bringen."
762,3,AfD,Alternative für Deutschland,21,4,Antisemitismus,Der Bund soll Projekte zur Bekämpfung des Antisemitismus stärker finanziell unterstützen.,stimme zu,"Die AfD unterstützt alle Projekte zur Vertiefung der deutsch-israelischen Freundschaft und zum Gedenken an die wichtige Rolle des Judentums in der deutschen Geschichte und Kultur. Weiterhin unterstützen wir alle Projekte, die sich mit Formen des Antisemitismus beschäftigen, welche bislang zu wenig aufgegriffen werden, also solche, die aktiv gegen muslimischen Antisemitismus oder die BDS-Bewegung vorgehen und die zu der genauen Erfassung der Motive für antisemitische Straftaten führen."
763,4,FDP,Freie Demokratische Partei,21,4,Antisemitismus,Der Bund soll Projekte zur Bekämpfung des Antisemitismus stärker finanziell unterstützen.,stimme zu,"Wir Freie Demokraten fordern ein entschiedenes Vorgehen gegen jede Form des Antisemitismus. Jüdisches Leben in Deutschland und Europa ist für uns eine Bereicherung. Es darf keine Toleranz gegenüber irgendeiner Form des Antisemitismus geben. In Polizei und Justiz braucht es beispielsweise Ansprechpartnerinnen und Ansprechpartner, um antisemitisch motivierte Gefahren und Taten aufzuarbeiten."
764,5,DIE LINKE,DIE LINKE,21,4,Antisemitismus,Der Bund soll Projekte zur Bekämpfung des Antisemitismus stärker finanziell unterstützen.,stimme zu,"Wir wollen ein Demokratiefördergesetz, mit dem wir die Kräfte in der Zivilgesellschaft stärken, die sich gegen Antisemitismus, Rassismus, Antiziganismus und Neonazis engagieren. Antisemitismus und antimuslimischer Rassismus dürfen - wie jede Form des Rassismus - keinen Platz in unserer Gesellschaft haben. Aus der deutschen Geschichte ergibt sich hier eine besondere Verantwortung."
765,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,21,4,Antisemitismus,Der Bund soll Projekte zur Bekämpfung des Antisemitismus stärker finanziell unterstützen.,stimme zu,"Jeder Form von Antisemitismus treten wir mit aller Entschlossenheit entgegen. Es braucht eine stärkere und vor allem verlässliche finanzielle Unterstützung zivilgesellschaftlicher Demokratie- und Präventionsarbeit gegen Antisemitismus, für die wir eine Regelfinanzierung wollen. Mit einem Demokratiefördergesetz wollen wir dieses Engagement nachhaltig und unbürokratisch finanziell absichern."
798,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,22,1,Aufträge an chinesische Firmen,Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.,neutral,"Mit dem IT-Sicherheitsgesetz stärken wir die Cybersicherheit Deutschlands. Es schließt keine Anbieter von vorneherein aus, doch ist jeweils stets in einem konkreten Einzelfall anhand technischer und sicherheitspolitischer Kriterien zu prüfen, ob Komponenten eines Unternehmens in Teilen sogenannter kritischer Infrastruktur eingesetzt werden dürfen oder nicht. Der zügige und sichere Ausbau unseres 5G-Netzes ist unser Ziel."
799,2,SPD,Sozialdemokratische Partei Deutschlands,22,1,Aufträge an chinesische Firmen,Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.,stimme nicht zu,"Wir profitieren von internationaler Kooperation und fairen Handel. Es geht nicht darum, außereuropäische Unternehmen vom Markt auszuschließen. Auch beim 5G-Ausbau hat Deutschland kein Huawei-Verbot erlassen, sondern eine Vertrauenswürdigkeitsprüfung eingeführt, die für alle Anbieter aus anderen Ländern gilt. Wir wollen den digitalen Wandel voranbringen, mit einem technologisch souveränen Europa, das persönliche Freiheiten garantiert und einseitige Abhängigkeiten von fremder Technologie reduziert."
800,3,AfD,Alternative für Deutschland,22,1,Aufträge an chinesische Firmen,Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.,stimme zu,"Sichere Telekommunikationsinfrastrukturen sind das Rückgrat unserer Souveränität und des wirtschaftlichen Wohlstandes. Für die AfD ist der Einsatz von chinesischen Komponenten in Telekommunikationsinfrastrukturen (z. B. 5G-Netze) nicht hinnehmbar, da chinesische Unternehmen unter Geheimhaltung verpflichtet sind, mit chinesischen Geheimdiensten zu kooperieren. Wir bevorzugen Technologien europäischer Marktführer, um Deutschlands Souveränität nicht zu gefährden."
801,4,FDP,Freie Demokratische Partei,22,1,Aufträge an chinesische Firmen,Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.,stimme zu,"Wir Freie Demokraten wollen die Cybersicherheit in Deutschland stärken. Dazu gehört auch, dass Unternehmen, die umfangreichen Einflussmöglichkeiten autoritärer Regime unterliegen, beim Ausbau kritischer Infrastruktur wie dem 5G-Netz nicht beteiligt sollen werden."
802,5,DIE LINKE,DIE LINKE,22,1,Aufträge an chinesische Firmen,Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.,stimme nicht zu,Allerdings wollen wir grundsätzlich regionale Kreisläufe und Wirtschaft stärken. 
803,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,22,1,Aufträge an chinesische Firmen,Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.,stimme zu,"Beim Ausbau digitaler Infrastrukturen wollen wir die digitale Souveränität Europas, die Integrität unserer kritischen Infrastruktur und die Einhaltung der Menschenrechte sicherstellen. Um Gefahrenlagen konkret bewerten zu können, müssen neben technischen unter anderem rechtsstaatliche und geostrategische Aspekte in die Prüfung einbezogen werden. Eine Beteiligung von nicht vertrauenswürdigen Unternehmen - insbesondere aus autoritären Staaten - an kritischer Infrastruktur lehnen wir ab."
836,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,23,6,Kirchensteuer,Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.,stimme zu,"Alle Religionsgemeinschaften, die Körperschaft des öffentlichen Rechts sind, dürfen von ihren Mitgliedern Kirchensteuer erheben. Damit kann die Handlungsfähigkeit der Kirchen erhalten werden. Die Kirchen bleiben damit von Spenden weitgehend unabhängig und können langfristig planen. Damit sind sie auch besser in der Lage, ihre vielfältigen Dienste für die Gesellschaft zu erbringen. Der Steuereinzug erfolgt über die Finanzämter und die Kirchen beteiligen sich an den Verwaltungskosten."
837,2,SPD,Sozialdemokratische Partei Deutschlands,23,6,Kirchensteuer,Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.,stimme zu,"Die Abschaffung der Kirchensteuer ist nicht Bestandteil des SPD-Zukunftsprogramms. Wir sind stolz auf unsere Zivilgesellschaft mit vielen Vereinen und Initiativen, den Wohlfahrtsverbänden, Kirchen und Religionsgemeinschaften, in denen sich Millionen Menschen ehrenamtlich engagieren. Die Weimarer Kirchenartikel, die das Grundgesetz übernommen hat, bilden neben der Religionsfreiheit einen zentralen Bestand des Religionsverfassungsrechts. Wir streben diesbezüglich keine Verfassungsänderung an."
838,3,AfD,Alternative für Deutschland,23,6,Kirchensteuer,Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.,neutral,"Die AfD strebt, wie auch andere Parteien, eine endgültige Ablösung der Kirchenfinanzierung an, die wegen der Säkularisierung von Kirchenbesitz zu Beginn des 19. Jahrhunderts geleistet wird. Dazu hat die AfD auch einen Gesetzentwurf im Bundestag eingebracht. Daran gemessen ist der staatliche Kirchensteuereinzug kein Problem von besonderer Tragweite, zumal bei angemessener Kostenerstattung für diese Dienstleistung."
839,4,FDP,Freie Demokratische Partei,23,6,Kirchensteuer,Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.,stimme zu,"Als Freie Demokraten erkennen wir an, dass sich das geltende Kirchensteuerrecht als prinzipiell gleichberechtigtes Kooperationsmodell für alle Religionsgemeinschaften bewährt hat, die als öffentlich-rechtliche Körperschaften anerkannt sind. Die weltanschaulich-religiöse Neutralität des Staates wird damit gewahrt. Generell wollen wir unser traditionelles Staatskirchenrecht perspektivisch zu einem modernen Religionsverfassungsrecht weiterentwickeln."
840,5,DIE LINKE,DIE LINKE,23,6,Kirchensteuer,Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.,stimme nicht zu,"Wir wollen, dass die Kirchen in Zukunft ihre Steuern bzw. Beiträge selbstständig einziehen. Wir treten für den seit 1919 bestehenden Verfassungsauftrag zur Ablösung der Staatsleistungen an die Kirchen ein. In einer weltanschaulich und religiös vielfältigen Gesellschaft müssen alle die gleichen Möglichkeiten der Finanzierung haben."
841,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,23,6,Kirchensteuer,Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.,stimme zu,"Das Bundesverfassungsgericht hat das Kirchen- bzw. Gemeindesteuersystem als verfassungskonform bestätigt. Unterhalb der grundsätzlichen Frage sehen wir allerdings deutlichen Reformbedarf des aktuellen Kirchensteuereinzugs. So bedarf es etwa der Reform der Besteuerung von glaubensverschiedenen Ehen, der Kirchensteuerzahlung bei geringfügig Beschäftigten sowie des Datenschutzes hinsichtlich des bisherigen Zwangs zur Offenbarung der Kirchenzugehörigkeit gegenüben Dritten."
874,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,24,6,Verkauf von Cannabis,Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.,stimme nicht zu,"Eine Legalisierung illegaler Drogen lehnen wir ab. Zu groß sind die gesundheitlichen Folgen für den Einzelnen und die Auswirkungen auf Familie, Umfeld und Gesellschaft. Wer legalisiert, der stellt gerade nicht Gesundheits- und Jugendschutz in den Mittelpunkt der Drogenpolitik, sondern entzieht sich seiner Verantwortung und lässt Betroffene sowie ihre Angehörigen mit den Problemen allein. Das ist nicht unser Weg."
875,2,SPD,Sozialdemokratische Partei Deutschlands,24,6,Verkauf von Cannabis,Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.,stimme zu,"Verbote und Kriminalisierung haben den Konsum von Cannabis nicht gesenkt. Eine regulierte Abgabe an Erwachsene soll in Modellprojekten von Ländern und Kommunen erprobt werden können, begleitet durch Maßnahmen der Prävention, Beratung und Behandlung im Jugendbereich. Zudem werden wir bundeseinheitlich regeln, dass der Besitz kleiner Mengen von Cannabis strafrechtlich nicht mehr verfolgt wird."
876,3,AfD,Alternative für Deutschland,24,6,Verkauf von Cannabis,Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.,stimme nicht zu,Für medizinische Indikationen sollen unter ärztlicher Aufsicht Präparate mit dem Hauptwirkstoff zur Verfügung stehen. Wir befürworten den Ausbau der suchtpsychiatrischen Versorgung für eine dauerhafte Abstinenz von Drogen.
877,4,FDP,Freie Demokratische Partei,24,6,Verkauf von Cannabis,Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.,stimme zu,"Wir Freie Demokraten fordern eine kontrollierte Freigabe von Cannabis. Wir wollen den Besitz und Konsum für volljährige Personen erlauben. Nur mit einem Verkauf in lizenzierten Geschäften können die Qualität kontrolliert, die Weitergabe von verunreinigten Substanzen verhindert und der Jugendschutz gewährleistet werden. Das Verbot von Cannabis kriminalisiert unzählige Menschen, bindet immense Polizeiressourcen und erleichtert durch illegalen Kontakt zu Dealern den Einstieg zu härteren Drogen."
878,5,DIE LINKE,DIE LINKE,24,6,Verkauf von Cannabis,Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.,stimme zu,"Der Besitz und Anbau zum eigenen Bedarf soll erlaubt sein. Dabei ist uns wichtig, vorrangig nicht-kommerzielle Bezugsmöglichkeiten zu schaffen. "
879,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,24,6,Verkauf von Cannabis,Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.,stimme zu,"Wir wollen die kontrollierte Abgabe von Cannabis an Erwachsene zulassen. Das derzeitige Verbot von Cannabis verursacht mehr Probleme, als es löst. Deshalb werden wir dem Schwarzmarkt den Boden entziehen und mit einem Cannabiskontrollgesetz auf der Grundlage eines strikten Jugend- und Verbraucherschutzes einen regulierten Verkauf von Cannabis in lizenzierten Fachgeschäften ermöglichen und klare Regelungen für die Teilnahme am Straßenverkehr einführen."
912,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,25,1,Austritt aus der EU,Deutschland soll aus der Europäischen Union austreten.,stimme nicht zu,"Die Europäische Union ist und bleibt das größte politische Erfolgsprojekt unserer Zeit. Sie hat den Menschen in Deutschland und Europa Frieden, Freiheit, Demokratie, Sicherheit und Wohlstand gebracht. Unsere Antwort auf globale Herausforderungen lautet: Mehr Europa! Denn nur gemeinsam mit unseren europäischen Partnern werden wir unsere Werte und Interessen durchsetzen können. Aber auch Europa braucht ein Modernisierungsjahrzehnt, damit es handlungsfähiger, schneller und weltpolitikfähig wird."
913,2,SPD,Sozialdemokratische Partei Deutschlands,25,1,Austritt aus der EU,Deutschland soll aus der Europäischen Union austreten.,stimme nicht zu,"Die Einheit Europas ist eine zivilisatorische Errungenschaft, die nach zwei Weltkriegen Frieden und Wohlstand ermöglichte. Die EU steht für Freiheit, Demokratie und Menschenrechte sowie für wirtschaftliche Zusammenarbeit und politische Partnerschaft über nationale Grenzen hinweg. Eine starke EU ist im Interesse Deutschlands. In einer sich wandelnden Welt ist die EU unsere gemeinsame Chance auf eine bessere Zukunft im 21. Jahrhundert. Europa ist das wichtigste nationale Anliegen Deutschlands."
914,3,AfD,Alternative für Deutschland,25,1,Austritt aus der EU,Deutschland soll aus der Europäischen Union austreten.,stimme zu,"Die Vehemenz, mit welcher die Europäische Union die Transformation zum planwirtschaftlichen Superstaat in den letzten Jahren vorangetrieben hat, hat uns zu der Erkenntnis gebracht, dass sich unsere grundlegenden Reformansätze in dieser EU nicht verwirklichen lassen. Wir halten einen Austritt Deutschlands aus der Europäischen Union und die Gründung einer neuen europäischen Wirtschafts- und Interessengemeinschaft für notwendig."
915,4,FDP,Freie Demokratische Partei,25,1,Austritt aus der EU,Deutschland soll aus der Europäischen Union austreten.,stimme nicht zu,"Nur gemeinsam in Europa können wir die großen Herausforderungen unserer Zeit bewältigen - die Folgen der Corona-Pandemie, den Klimawandel, Terrorismus und Migration. Wir wollen eine außenpolitisch starke EU, die ihre Werte, ihre Interessen und Souveränität schützt sowie sich autokratischem Machtstreben entgegenstellt. Mit mutigen Reformen ihrer Aufgaben, Arbeitsweise und Institutionen wollen wir die EU nach innen demokratisch und wirtschaftlich stark sowie nach außen handlungsfähig machen."
